"Survey Type",Organization,Date,"Survey Year",Country,State,County,"Survey ID","MDMAP ID #","Transect ID #","Shoreline Name","Latitude Start","Longitude Start","Latitude End","Longitude End",Slope,Width,Length,"Start Time","End Time","Time of Low Tide","Database Season",Season,"Date of Previous Survey","Storm Activity","Current Weather","Number of Persons","Large Items?","Debris Behind Back Barrier?","Datasheet Version","# of Large Items",Notes,Photos,"Item Type",Subtype,Status,"Width (m)","Length (m)",Description,Photo?
Accumulation,"The Santa Barbara Beach Angels",11-02-2014,"Year 3","United States",CA,"Santa Barbara",3436,33,,"Stearns Wharf to Mission Creek Outlet",34.411689,-119.688208,34.413325,-119.685118,,27,274,"12:00 PM","01:00 PM","12:00 PM",Fall,Fall,10-26-2014,no,"Sunny, 76F",17,yes,yes,1.0,1,"2 hypodermic needles were found",Yes,Plastic,"Hard Plastic","stranded ",0.5,1,"Large plastic street garbage bin",No
Accumulation,"The Santa Barbara Beach Angels",11-02-2014,"Year 3","United States",CA,"Santa Barbara",3436,33,,"Stearns Wharf to Mission Creek Outlet",34.411689,-119.688208,34.413325,-119.685118,,27,274,"12:00 PM","01:00 PM","12:00 PM",Fall,Fall,10-26-2014,no,"Sunny, 76F",17,yes,yes,1.0,1,"2 hypodermic needles were found",Yes,Plastic,Other,"stranded ",1.5,2.5,"A large acrylic blanket (the picture shown with the garbage bin)",Yes
Accumulation,"The Santa Barbara Beach Angels",11-02-2014,"Year 3","United States",CA,"Santa Barbara",3436,33,,"Stearns Wharf to Mission Creek Outlet",34.411689,-119.688208,34.413325,-119.685118,,27,274,"12:00 PM","01:00 PM","12:00 PM",Fall,Fall,10-26-2014,no,"Sunny, 76F",17,yes,yes,1.0,1,"2 hypodermic needles were found",Yes,Other/Unclassifiable,Other,"Stranded ",1,2,"4' x 3' x6' couch cushion",No
Accumulation,"The Santa Barbara Beach Angels",11-02-2014,"Year 3","United States",CA,"Santa Barbara",3436,33,,"Stearns Wharf to Mission Creek Outlet",34.411689,-119.688208,34.413325,-119.685118,,27,274,"12:00 PM","01:00 PM","12:00 PM",Fall,Fall,10-26-2014,no,"Sunny, 76F",17,yes,yes,1.0,5,"2 hypodermic needles were found",Yes,"Processed Lumber","Lumber/building material","stranded ",0.05,1.5," 5'2"" to 4' long lumber pieces",Yes
Accumulation,"The Santa Barbara Beach Angels",10-26-2014,"Year 3","United States",CA,"Santa Barbara",3437,33,,"Stearns Wharf to Mission Creek Outlet",34.411689,-119.688208,34.413325,-119.685118,,27,274,"04:30 PM","05:30 PM","06:20 PM",Fall,Fall,10-19-2014,no,"Sunny, 67F",12,yes,yes,1.0,1,,Yes,Metal,Other,"Stranded ",0.9,1.8,"3' x 3' x 6"" metal rim for boat entrance below",Yes
Standing-Stock,"BC Ministry of Environment",02-09-2015,"Year 3",Canada,BC,"Haida Gwaii",3440,47,2,"Cape Fife / East Beach - Naikoon Provincial Park",54.08265,-131.67422,54.08188,-131.67432,,100,100,"02:00 PM","03:00 PM",,Winter,Winter,12-27-2014,SE50,"OC, NE10",1,yes,yes,1.0,1,"huge change in rack from storm/ tide; huge amount of small plastic (estimates used for count)",Yes,Plastic,"Hard Plastic",stranded,.3,.5,gascan,No
Standing-Stock,"BC Ministry of Environment",02-10-2015,"Year 3",Canada,BC,"Haida Gwaii",3444,47,11,"Cape Fife / East Beach - Naikoon Provincial Park",54.08265,-131.67422,54.08188,-131.67432,,50,100,"11:00 AM","12:00 PM",,Winter,Winter,02-09-2015,Yes,"overcast, SE20, 0C",1,yes,yes,1.0,1,"clean beach",No,Metal,Other,stranded,1,1,Trap,Yes
Accumulation,"The Santa Barbara Beach Angels",09-21-2014,"Year 3","United States",CA,"Santa Barbara",3451,33,,"Stearns Wharf to Mission Creek Outlet",34.411689,-119.688208,34.413325,-119.685118,,27,274,"02:30 PM","03:30 PM",,Fall,Summer,08-31-2014,no,"Sunny, 72F",19,yes,,1.0,1,,Yes,Plastic,Other,"stranded ",0.3,1,"Sail piece from ship",No
Accumulation,"Clean Virginia Waterways/Longwood University",01-20-2015,"Year 2","United States",VA,Hampton,3453,167,,"Grandview Nature Preserve",37.08962,-76.27112,37.09056,-76.27148,,53.5,100,"03:14 PM","03:43 PM",,Winter,WINTER,12-19-2014,"01/18/15 HEAVY RAIN","10% CLOUD. LIGHT BREEZE",4,yes,,1.0,1,,Yes,"Processed Lumber","Lumber/building material",UNKNOWN,0.0254,0.4572,"WOOD STAKE",Yes
Standing-Stock,"Clean Virginia Waterways/Longwood University",01-20-2015,"Year 1","United States",VA,Hampton,3455,166,14,"Grandview Nature Preserve (SS)",37.09046,-76.27184,37.09127,-76.27232,,53.6,100,"3:00 PM","3:03 PM",,Winter,WINTER,12-19-2014,"01/18/15 HEAVY RAIN","CLEAR LIGHT BREEZE",2,yes,,1.0,1,,No,Metal,Other,BURIED,0.4318,0.6096,"CRAB POT",Yes
Accumulation,"Clean Virginia Waterways/Longwood University",01-02-2015,"Year 1","United States",VA,Northampton,3458,169,,"Fisherman Island NWR",37.09482,-75.98033,37.0948,-75.98083,,58.85,100,"01:30 PM","03:01 PM",,Winter,WINTER,12-05-2014,N/A,"CLOUDY CALM COOL",5,yes,,1.0,1,,Yes,Plastic,"Plastic rope/net",UNKNOWN,2.4384,4.572,"CLAM NET",Yes
Accumulation,"The Santa Barbara Beach Angels",08-31-2014,"Year 2","United States",CA,"Santa Barbara",3459,33,,"Stearns Wharf to Mission Creek Outlet",34.411689,-119.688208,34.413325,-119.685118,,27,274,"05:00 PM","06:00 PM",,Summer,Summer,08-17-2014,no,"Sunny, 76F",13,yes,,1.0,1,,Yes,"Processed Lumber",Other,"Stranded ",0.45,0.45,"Seat from Boat",No
Accumulation,"The Santa Barbara Beach Angels",08-31-2014,"Year 2","United States",CA,"Santa Barbara",3459,33,,"Stearns Wharf to Mission Creek Outlet",34.411689,-119.688208,34.413325,-119.685118,,27,274,"05:00 PM","06:00 PM",,Summer,Summer,08-17-2014,no,"Sunny, 76F",13,yes,,1.0,4,,Yes,"Processed Lumber","Lumber/building material","stranded ",0.1,1,"Lumber pieces stranded ",Yes
Accumulation,"The Santa Barbara Beach Angels",08-17-2014,"Year 2","United States",CA,"Santa Barbara",3460,33,,"Stearns Wharf to Mission Creek Outlet",34.411689,-119.688208,34.413325,-119.685118,,27,274,"10:30 AM","11:30 AM",,Summer,Summer,07-20-2014,no,"Sunny, 72F",5,yes,,1.0,4,,Yes,"Processed Lumber","Lumber/building material","stranded ",0.05,1,"  4 lumber pieces from 3 feet long to about a foot and a half by 4 - 6"", 2 ' 3"" thick.",Yes
Accumulation,"The Santa Barbara Beach Angels",07-20-2014,"Year 2","United States",CA,"Santa Barbara",3461,33,,"Stearns Wharf to Mission Creek Outlet",34.411689,-119.688208,34.413325,-119.685118,,27,274,"11:30 AM","12:30 PM",,Summer,Summer,07-06-2014,no,"Sunny, 71F",6,yes,,1.0,1,,Yes,Metal,Other,"Stranded ",0.07,1,"Heavy metal pipe with cap - 3"" x 3.5'",No
Accumulation,"The Santa Barbara Beach Angels",07-06-2014,"Year 2","United States",CA,"Santa Barbara",3462,33,,"Stearns Wharf to Mission Creek Outlet",34.411689,-119.688208,34.413325,-119.685118,,27,274,"10:30 AM","11:30 AM",,Summer,Summer,10-13-2013,no,"Sunny, 72F",7,yes,,1.0,1,,Yes,Plastic,Other,"Stranded ",1,1.8,"full size polyster stuffed quilt / bedspread",No
Accumulation,"The Santa Barbara Beach Angels",07-06-2014,"Year 2","United States",CA,"Santa Barbara",3462,33,,"Stearns Wharf to Mission Creek Outlet",34.411689,-119.688208,34.413325,-119.685118,,27,274,"10:30 AM","11:30 AM",,Summer,Summer,10-13-2013,no,"Sunny, 72F",7,yes,,1.0,4,,Yes,"Processed Lumber","Lumber/building material","stranded ",0.05,1.5,"4 long pieces lumber some with nails",No
Accumulation,"Clean Virginia Waterways/Longwood University",01-19-2015,"Year 1","United States",VA,"Virginia Beach",3468,165,,"Back Bay Natl Wildlife Refuge",36.67454,-75.9134,36.67534,-75.91386,,45.1,100,"12:51 PM","1:08 PM",,Winter,WINTER,12-18-2014,"HEAVY RAIN 01/18/2015","20% CLOUDS 5-10 NE",3,yes,,1.0,1,,Yes,"Processed Lumber","Lumber/building material",UNKNOWN,.1524,.762,WOOD,Yes
Accumulation,"Clean Virginia Waterways/Longwood University",01-19-2015,"Year 1","United States",VA,"Virginia Beach",3468,165,,"Back Bay Natl Wildlife Refuge",36.67454,-75.9134,36.67534,-75.91386,,45.1,100,"12:51 PM","1:08 PM",,Winter,WINTER,12-18-2014,"HEAVY RAIN 01/18/2015","20% CLOUDS 5-10 NE",3,yes,,1.0,1,,Yes,"Processed Lumber","Lumber/building material",UNKNOWN,.0508,.6096,WOOD,Yes
Accumulation,"Clean Virginia Waterways/Longwood University",01-19-2015,"Year 1","United States",VA,"Virginia Beach",3468,165,,"Back Bay Natl Wildlife Refuge",36.67454,-75.9134,36.67534,-75.91386,,45.1,100,"12:51 PM","1:08 PM",,Winter,WINTER,12-18-2014,"HEAVY RAIN 01/18/2015","20% CLOUDS 5-10 NE",3,yes,,1.0,1,,Yes,"Processed Lumber","Lumber/building material",UNKNOWN,.1524,.9144,WOOD,Yes
Accumulation,"California Coast National Monument Task Force",04-16-2015,"Year 3","United States",CA,Sonoma,3478,59,,"Ohlson Beach",38.7132,-123.4564,38.7106,-123.4551,,65,309,"03:00 PM","03:30 PM","03:30 PM",Spring,spring,03-12-2015,none,"sunny, 0% cloud cover, no wind, 68 deg",1,yes,no,1.0,1,,No,Cloth/Fabric,"Clothing & shoes","Domestic, not tsunami debris",1,0.5,"Pair of new, dry Levis jeans, cut with scissors. Remnant of a recent injury accident helicopter rescue.",Yes
Accumulation,"Clean Virginia Waterways/Longwood University",02-01-2015,"Year 1","United States",VA,Northampton,3497,169,,"Fisherman Island NWR",37.09482,-75.98033,37.0948,-75.98083,,51.7,100,"01:22 PM","01:55 PM","01:02 PM",Winter,WINTER,01-02-2015,"HIGH WINDS 01/30/2015","80% CLOUDS SW5-10",4,yes,yes,1.0,1,,Yes,"Processed Lumber","Lumber/building material",UNKNOWN,.1016,.9144,"WOOD ",Yes
Accumulation,"Clean Virginia Waterways/Longwood University",03-02-2015,"Year 1","United States",VA,Northampton,3502,169,,"Fisherman Island NWR",37.09482,-75.98033,37.0948,-75.98083,,46.15,100,"1:03 PM","2:07 PM","12:34 PM",Spring,WINTER,02-01-2015,"SNOW STORM 2/25-2/26","10% CLOUDS, 10-15 NNW SNOW ON BEACH",4,yes,yes,1.0,1,,No,Plastic,"Hard Plastic",BURIED,0.0508,7.0104,"PVC PIPE",Yes
Accumulation,"Clean Virginia Waterways/Longwood University",03-02-2015,"Year 1","United States",VA,Northampton,3502,169,,"Fisherman Island NWR",37.09482,-75.98033,37.0948,-75.98083,,46.15,100,"1:03 PM","2:07 PM","12:34 PM",Spring,WINTER,02-01-2015,"SNOW STORM 2/25-2/26","10% CLOUDS, 10-15 NNW SNOW ON BEACH",4,yes,yes,1.0,1,,No,"Processed Lumber","Lumber/building material",NONE,.1016,0.4572,WOOD,Yes
Accumulation,"Clean Virginia Waterways/Longwood University",03-02-2015,"Year 1","United States",VA,Northampton,3502,169,,"Fisherman Island NWR",37.09482,-75.98033,37.0948,-75.98083,,46.15,100,"1:03 PM","2:07 PM","12:34 PM",Spring,WINTER,02-01-2015,"SNOW STORM 2/25-2/26","10% CLOUDS, 10-15 NNW SNOW ON BEACH",4,yes,yes,1.0,1,,No,"Processed Lumber","Lumber/building material",NONE,.1524,3.3528,WOOD,Yes
Accumulation,"Clean Virginia Waterways/Longwood University",03-02-2015,"Year 1","United States",VA,Northampton,3502,169,,"Fisherman Island NWR",37.09482,-75.98033,37.0948,-75.98083,,46.15,100,"1:03 PM","2:07 PM","12:34 PM",Spring,WINTER,02-01-2015,"SNOW STORM 2/25-2/26","10% CLOUDS, 10-15 NNW SNOW ON BEACH",4,yes,yes,1.0,1,,No,Plastic,"Plastic rope/net",BURIED,1.219,7.62,"CLAM NET",Yes
Standing-Stock,"Gulf of the Farallones National Marine Sanctuary",03-13-2015,"Year 3","United States",CA,Marin,3503,15,2,"Drakes Beach, Point Reyes National Seashore",38.03165,-122.94725,38.03083,-122.94821,,50,100,"11:30 AM","12:30 PM","12:00 PM",Spring,spring,02-22-2015,none,"breezy and mild",2,yes,yes,1.0,1,,Yes,"Processed Lumber","Lumber/building material","on sand",0.31,1.20,"construction debris",No
Standing-Stock,"Gulf of the Farallones National Marine Sanctuary",03-13-2015,"Year 3","United States",CA,Marin,3503,15,2,"Drakes Beach, Point Reyes National Seashore",38.03165,-122.94725,38.03083,-122.94821,,50,100,"11:30 AM","12:30 PM","12:00 PM",Spring,spring,02-22-2015,none,"breezy and mild",2,yes,yes,1.0,1,,Yes,"Processed Lumber","Lumber/building material","on sand",0.875,1.75,"2 x 4",No
Standing-Stock,"Gulf of the Farallones National Marine Sanctuary",03-13-2015,"Year 3","United States",CA,Marin,3506,15,16,"Drakes Beach, Point Reyes National Seashore",38.03165,-122.94725,38.03083,-122.94821,,50,100,"11:30 AM","01:00 PM","12:00 PM",Spring,winter,02-22-2015,None,"breezy mild",2,yes,yes,1.0,1,,No,Plastic,"Foam Plastic","on sand",0.16,1.20,"foam block - transect 16",Yes
Standing-Stock,"Gulf of the Farallones National Marine Sanctuary",02-22-2015,"Year 3","United States",CA,Marin,3512,15,10,"Drakes Beach, Point Reyes National Seashore",38.03165,-122.94725,38.03083,-122.94821,,61,100,"08:30 AM","09:30 AM","07:30 AM",Winter,winter,01-15-2015,"Storm 02-07-20115","clear & calm",2,yes,yes,1.0,1,,No,Plastic,"Plastic rope/net",buried,0.01,2.0,Rope,Yes
Standing-Stock,"Gulf of the Farallones National Marine Sanctuary",02-22-2015,"Year 3","United States",CA,Marin,3513,15,11,"Drakes Beach, Point Reyes National Seashore",38.03165,-122.94725,38.03083,-122.94821,,60,100,"08:30 AM","09:30 AM","07:30 AM",Winter,winter,01-15-2015,"Storm 02-07-2015","clear & calm",2,yes,yes,1.0,1,,No,Plastic,"Plastic rope/net",buried,0.01,10,Rope,Yes
Standing-Stock,"Gulf of the Farallones National Marine Sanctuary",02-22-2015,"Year 3","United States",CA,Marin,3514,15,15,"Drakes Beach, Point Reyes National Seashore",38.03165,-122.94725,38.03083,-122.94821,,60,100,"08:30 AM","09:30 AM","07:30 AM",Winter,winter,01-15-2015,"Storm 02-07-2015","clear & calm",2,yes,yes,1.0,1,,No,Plastic,"Plastic rope/net",buried,0.01,3.0,rope,Yes
Standing-Stock,"Gulf of the Farallones National Marine Sanctuary",02-22-2015,"Year 3","United States",CA,Marin,3515,15,20,"Drakes Beach, Point Reyes National Seashore",38.03165,-122.94725,38.03083,-122.94821,,56,100,"08:30 AM","09:30 AM","07:30 AM",Winter,winter,01-15-2015,"Storm 02-07-2015","clear & calm",2,yes,yes,1.0,1,,No,Plastic,Other,"on sand",0.45,0.55,Tub,Yes
Standing-Stock,"Gulf of the Farallones National Marine Sanctuary",02-22-2015,"Year 3","United States",CA,Marin,3515,15,20,"Drakes Beach, Point Reyes National Seashore",38.03165,-122.94725,38.03083,-122.94821,,56,100,"08:30 AM","09:30 AM","07:30 AM",Winter,winter,01-15-2015,"Storm 02-07-2015","clear & calm",2,yes,yes,1.0,1,,No,Plastic,Other,buried,0.27,0.50,basket,Yes
Accumulation,"Clean Virginia Waterways/Longwood University",03-31-2015,"Year 1","United States",VA,Northampton,3546,169,,"Fisherman Island NWR",37.09482,-75.98033,37.0948,-75.98083,,41.45,100,"12:32 PM","1:30 PM","12:55 PM",Spring,SPRING,03-02-2015,N/A,"SUNNY. LIGHT BREEZE",3,yes,yes,1.0,1,"In Dune: 
6 foam, 2 plastic, 2 construction material, 1 ribbon, 6 piling, 1 rope, 1 plastic jug, 1 comb",Yes,Plastic,"Plastic rope/net",UNKNOWN,3,9,"CLAM NET",Yes
Accumulation,"Clean Virginia Waterways/Longwood University",03-31-2015,"Year 1","United States",VA,Northampton,3546,169,,"Fisherman Island NWR",37.09482,-75.98033,37.0948,-75.98083,,41.45,100,"12:32 PM","1:30 PM","12:55 PM",Spring,SPRING,03-02-2015,N/A,"SUNNY. LIGHT BREEZE",3,yes,yes,1.0,1,"In Dune: 
6 foam, 2 plastic, 2 construction material, 1 ribbon, 6 piling, 1 rope, 1 plastic jug, 1 comb",Yes,Plastic,"Plastic rope/net",UNKNOWN,2,2,"CLAM NET",Yes
Accumulation,"Clean Virginia Waterways/Longwood University",03-31-2015,"Year 1","United States",VA,Northampton,3546,169,,"Fisherman Island NWR",37.09482,-75.98033,37.0948,-75.98083,,41.45,100,"12:32 PM","1:30 PM","12:55 PM",Spring,SPRING,03-02-2015,N/A,"SUNNY. LIGHT BREEZE",3,yes,yes,1.0,1,"In Dune: 
6 foam, 2 plastic, 2 construction material, 1 ribbon, 6 piling, 1 rope, 1 plastic jug, 1 comb",Yes,"Processed Lumber","Lumber/building material",UNKNOWN,.2,.5,WOOD,Yes
Accumulation,"Clean Virginia Waterways/Longwood University",03-31-2015,"Year 1","United States",VA,Northampton,3546,169,,"Fisherman Island NWR",37.09482,-75.98033,37.0948,-75.98083,,41.45,100,"12:32 PM","1:30 PM","12:55 PM",Spring,SPRING,03-02-2015,N/A,"SUNNY. LIGHT BREEZE",3,yes,yes,1.0,1,"In Dune: 
6 foam, 2 plastic, 2 construction material, 1 ribbon, 6 piling, 1 rope, 1 plastic jug, 1 comb",Yes,Plastic,"Plastic rope/net",UNKNOWN,1,2,"CLAM NET",Yes
Accumulation,"Clean Virginia Waterways/Longwood University",03-31-2015,"Year 1","United States",VA,Northampton,3546,169,,"Fisherman Island NWR",37.09482,-75.98033,37.0948,-75.98083,,41.45,100,"12:32 PM","1:30 PM","12:55 PM",Spring,SPRING,03-02-2015,N/A,"SUNNY. LIGHT BREEZE",3,yes,yes,1.0,1,"In Dune: 
6 foam, 2 plastic, 2 construction material, 1 ribbon, 6 piling, 1 rope, 1 plastic jug, 1 comb",Yes,"Processed Lumber","Lumber/building material",UNKNOWN,.15,4.3,WOOD,Yes
Standing-Stock,"Clean Virginia Waterways/Longwood University",03-31-2015,"Year 1","United States",VA,Northampton,3547,168,2,"Fisherman Island NWR (SS)",37.09377,-75.98032,37.0948,-75.98043,,52.4,100,"12:00 PM","12:15 PM","12:55 PM",Spring,SPRING,03-02-2015,N/A,"SUNNY, SLIGHT BREEZE",2,yes,yes,1.0,1,,No,"Processed Lumber","Lumber/building material",BURIED,.2,.3,LUMBER,Yes
Standing-Stock,"Clean Virginia Waterways/Longwood University",03-31-2015,"Year 1","United States",VA,Northampton,3548,168,9,"Fisherman Island NWR (SS)",37.09377,-75.98032,37.0948,-75.98043,,45.7,100,"12:04 PM","12:08 PM","12:55 PM",Spring,SPRING,03-02-2015,N/A,"SUNNY LIGHT BREEZE",2,yes,,1.0,1,,No,Plastic,"Plastic rope/net",UNKNOWN,3,10,"CLAM NET",Yes
Standing-Stock,"Gulf of the Farallones National Marine Sanctuary",10-16-2014,"Year 3","United States",CA,Marin,3576,14,1,"South Beach, Point Reyes National Seashore",38.05476,-122.98576,38.05578,-122.98581,,25,100,"12:30 PM","1:30 PM",,Fall,fall,09-17-2014,none,"calm/large surf",2,yes,no,1.0,1,,Yes,Plastic,"Balloons - Mylar",surface,.3,.3,"happy face mylar balloon",No
Standing-Stock,"Gulf of the Farallones National Marine Sanctuary",01-16-2015,"Year 3","United States",CA,Marin,3582,14,13,"South Beach, Point Reyes National Seashore",38.05476,-122.98576,38.05578,-122.98581,,40,100,"2:40 PM","3:30 PM",,Winter,winter,11-17-2014,none,"moderate breeze, coastal drizzle",2,yes,no,1.0,1,,No,Plastic,"Hard Plastic",surface,.15,.3,,No
Standing-Stock,"Gulf of the Farallones National Marine Sanctuary",01-16-2015,"Year 3","United States",CA,Marin,3583,14,19,"South Beach, Point Reyes National Seashore",38.05476,-122.98576,38.05578,-122.98581,,40,100,"2:40 PM","3:30 PM",,Winter,winter,11-17-2014,none,"moderate breeze, coastal drizzle",2,yes,no,1.0,1,,No,Plastic,"Hard Plastic",surface,.3,.35,,No
Standing-Stock,"Gulf of the Farallones National Marine Sanctuary",04-13-2015,"Year 3","United States",CA,Marin,3592,14,3,"South Beach, Point Reyes National Seashore",38.05476,-122.98576,38.05578,-122.98581,,40,100,"1:15 PM","2:10 PM",,Spring,spring,03-11-2015,"rain two days ago","clear and sunny",2,yes,yes,1.0,1,"millions of valella valella",Yes,Plastic,"Hard Plastic",surface,.02,.6,,No
Standing-Stock,"Gulf of the Farallones National Marine Sanctuary",04-13-2015,"Year 3","United States",CA,Marin,3592,14,3,"South Beach, Point Reyes National Seashore",38.05476,-122.98576,38.05578,-122.98581,,40,100,"1:15 PM","2:10 PM",,Spring,spring,03-11-2015,"rain two days ago","clear and sunny",2,yes,yes,1.0,1,"millions of valella valella",Yes,Plastic,"Hard Plastic",surface,.15,.3,,No
Accumulation,"Redfish Rocks",04-10-2015,"Year 3","United States",OR,Curry,3601,11,,"Rocky Point",42.7149,-124.4621,42.7139,-124.462,,35,102,"09:00 AM","09:30 AM","11:00 AM",Spring,Spring,03-13-2015,none,"10% Cloud Cover.  Wind of 0-5 mph.",6,yes,yes,1.0,2,"Not sure about the ""Back Barrier"" question, as our site abuts cliff.  I am sure that there is Debris somewhere along that stretch of road that sites above our site.",Yes,"Processed Lumber","Lumber/building material",Buried,1.5,.10,"4 x 4 piece of lumber",Yes
Accumulation,"Redfish Rocks",04-10-2015,"Year 3","United States",OR,Curry,3601,11,,"Rocky Point",42.7149,-124.4621,42.7139,-124.462,,35,102,"09:00 AM","09:30 AM","11:00 AM",Spring,Spring,03-13-2015,none,"10% Cloud Cover.  Wind of 0-5 mph.",6,yes,yes,1.0,1,"Not sure about the ""Back Barrier"" question, as our site abuts cliff.  I am sure that there is Debris somewhere along that stretch of road that sites above our site.",Yes,"Processed Lumber","Lumber/building material",Sunken,1.5,.3,"12' x 12' Building Material, Lumber",Yes
Accumulation,"Redfish Rocks",04-10-2015,"Year 3","United States",OR,Curry,3601,11,,"Rocky Point",42.7149,-124.4621,42.7139,-124.462,,35,102,"09:00 AM","09:30 AM","11:00 AM",Spring,Spring,03-13-2015,none,"10% Cloud Cover.  Wind of 0-5 mph.",6,yes,yes,1.0,1,"Not sure about the ""Back Barrier"" question, as our site abuts cliff.  I am sure that there is Debris somewhere along that stretch of road that sites above our site.",Yes,"Processed Lumber","Lumber/building material",Removed,1,.3,"12' x 2' Lumber",Yes
Accumulation,"Redfish Rocks",04-10-2015,"Year 3","United States",OR,Curry,3601,11,,"Rocky Point",42.7149,-124.4621,42.7139,-124.462,,35,102,"09:00 AM","09:30 AM","11:00 AM",Spring,Spring,03-13-2015,none,"10% Cloud Cover.  Wind of 0-5 mph.",6,yes,yes,1.0,1,"Not sure about the ""Back Barrier"" question, as our site abuts cliff.  I am sure that there is Debris somewhere along that stretch of road that sites above our site.",Yes,"Processed Lumber","Lumber/building material",Buried,3,.1,"4'x4' Lumber",Yes
Accumulation,"Redfish Rocks",04-10-2015,"Year 3","United States",OR,Curry,3601,11,,"Rocky Point",42.7149,-124.4621,42.7139,-124.462,,35,102,"09:00 AM","09:30 AM","11:00 AM",Spring,Spring,03-13-2015,none,"10% Cloud Cover.  Wind of 0-5 mph.",6,yes,yes,1.0,1,"Not sure about the ""Back Barrier"" question, as our site abuts cliff.  I am sure that there is Debris somewhere along that stretch of road that sites above our site.",Yes,Plastic,"Hard Plastic",Buried,1,.1,"4'x4' Lumber",Yes
Accumulation,"Redfish Rocks",05-14-2015,"Year 4","United States",OR,Curry,3602,11,,"Rocky Point",42.7149,-124.4621,42.7139,-124.462,,35,102,"02:00 PM","02:30 PM","03:00 PM",Spring,Spring,04-10-2015,None,"40% Cloud Cover. Wind 5-10 mph.",3,yes,yes,1.0,1,"Please see previous survey report.  More than likely some debris on the road above our site.  This site is back by a cliff.

The past two months have turned up little debris in comparison to the winter months.  This trend is likely to continue throughout the summer.",Yes,"Processed Lumber","Lumber/building material",Removed,.6,.1,"2'x4' Lumber",Yes
Accumulation,"Clean Virginia Waterways/Longwood University",03-20-2015,"Year 1","United States",VA,"Virginia Beach",3611,165,,"Back Bay Natl Wildlife Refuge",36.67454,-75.9134,36.67534,-75.91386,,49.4,100,"2:52 PM","3:10 PM","2:20 PM",Spring,SPRING,02-22-2015,N/A,"CLOUDY, FOGGY, LIGHT BREEZE",3,yes,yes,1.0,1,"VERY SMALL PIECE OF LATEX BALLOON
MOST OF THE FOAM RED IN COLOR: SAME AS FOUND ON GNP 3/18/2015
Plastic other, handle",Yes,"Processed Lumber","Lumber/building material",UNKNOWN,.15,1.4,WOOD,Yes
Accumulation,"Clean Virginia Waterways/Longwood University",04-15-2015,"Year 3","United States",VA,Hampton,3616,167,,"Grandview Nature Preserve",37.08962,-76.27112,37.09056,-76.27148,,46.75,100,"1:06 PM","1:43 PM","1:01 PM",Spring,SPRING,03-18-2015,N/A,"15-20 NE, 100% CLOUDS",2,yes,yes,1.0,1,,Yes,Plastic,"Foam Plastic",BURIED,.0508,.6096,"FOAM PIECE",Yes
Accumulation,"Clean Virginia Waterways/Longwood University",04-15-2015,"Year 3","United States",VA,Hampton,3616,167,,"Grandview Nature Preserve",37.08962,-76.27112,37.09056,-76.27148,,46.75,100,"1:06 PM","1:43 PM","1:01 PM",Spring,SPRING,03-18-2015,N/A,"15-20 NE, 100% CLOUDS",2,yes,yes,1.0,1,,Yes,"Processed Lumber","Lumber/building material",UNKNOWN,2.44,.9144,WOOD,Yes
Accumulation,"Clean Virginia Waterways/Longwood University",04-15-2015,"Year 3","United States",VA,Hampton,3616,167,,"Grandview Nature Preserve",37.08962,-76.27112,37.09056,-76.27148,,46.75,100,"1:06 PM","1:43 PM","1:01 PM",Spring,SPRING,03-18-2015,N/A,"15-20 NE, 100% CLOUDS",2,yes,yes,1.0,1,,Yes,Plastic,Other,UNKNOWN,.2032,.4572,"BOTTLE CARRIER",Yes
Accumulation,"Clean Virginia Waterways/Longwood University",04-13-2015,"Year 1","United States",VA,Accomack,3621,171,,"Chincoteague NWR",37.97645,-75.28242,37.97725,-75.28195,,60.95,100,"11:11 AM","11:28 PM","10:15 AM",Spring,SPRING,03-15-2015,N/A,"SUNNY, 10% CLOUDS, 5 S MPH",3,yes,no,1.0,1,"Other: horsehoe crab tag 1",Yes,"Processed Lumber","Lumber/building material",UNKNOWN,.3048,.4572,WOOD,Yes
Accumulation,"Clean Virginia Waterways/Longwood University",04-17-2015,"Year 2","United States",VA,"Virginia Beach",3626,165,,"Back Bay Natl Wildlife Refuge",36.67454,-75.9134,36.67534,-75.91386,,44.2,100,"01:01 PM","1:28 PM","1:05 PM",Spring,SPRING,03-20-2015,N/A,"CLOUDY, SW 5-10",3,yes,no,1.0,1,"Plastic other, cigar wrapper; plastic other, cigarette wrapper; processed lumber other, cork; plastic other,  sunglasses frame; plastic other, hard plastic grating; plastic other, shotgun wad",Yes,Cloth/Fabric,"Fabric Pieces",UNKNOWN,.6,.6,"FLOOR MAT",Yes
Standing-Stock,"Clean Virginia Waterways/Longwood University",04-17-2015,"Year 2","United States",VA,"VA Beach",3629,164,15,"Back Bay Natl Wildlife Refuge (SS)",36.67534,-75.91386,36.67615,-75.91434,,53,100,"12:48 PM","12:52 PM","1:05 PM",Spring,SPRING,03-20-2015,N/A,"CLOUDY, SW 5-10",2,yes,no,1.0,1,,Yes,"Processed Lumber","Lumber/building material",UNKNOWN,.15,2.4,PILING/POST,Yes
